開催年数,開催月,問番号,科目,問,(1),(2),(3),(4),(5),正答番号,解説
令和4年,10月,26,労働生理,耳とその機能に関する次の記述のうち、誤っているものはどれか｡,耳は、聴覚と平衡感覚をつかさどる器官で、外耳、中耳及び内耳の三つの部位に分けられる。,耳介で集められた音は、鼓膜を振動させ、その振動は耳小骨によって増幅され、内耳に伝えられる。,内耳は、前庭、半規管及び蝸牛（うずまき管）の三つの部位からなり、前庭と半規管が平衡感覚、蝸牛が聴覚をそれぞれ分担している。,半規管は、体の傾きの方向や大きさを感じ、前庭は、体の回転の方向や度を感じる。,鼓室は、耳管によって咽頭に通じており、その内圧は外気圧と等しく保たれている。,4,正答は4。前庭は体の傾きの方向や大きさを感じる器官であり、半規管は体の回転の方向や速度を感じる器官である。(4)ではこの関係が逆になっており誤り。
令和4年,10月,27,労働生理,神経系に関する次の記述のうち、誤っているものはどれか。,神経細胞（ニューロン）は、神経系を構成する基本的な単位で、通常、1個の細胞体、1本の軸索及び複数の樹状突起から成る。,脊髄では、中心部が灰白質であり、その外側が白質である。,大脳では、内側の髄質が白質であり、外側の皮質が灰白質である。,体性神経には感覚器官からの情報を中枢に伝える感覚神経と、中枢からの命令を運動器官に伝える運動神経がある。,交感神経系は、心拍数を増加し、消化管の運動を亢進する。,5,正答は5。交感神経系は、活動・興奮時に優位となり心拍数を増加させる一方、消化管の運動は抑制する。(5)の「消化管の運動を亢進する」は誤りで、消化管運動を亢進させるのは副交感神経系である。
令和4年,10月,28,労働生理,血液に関する次の記述のうち、誤っているものはどれか。,血液は、血漿成分と有形成分から成り、血漿成分は血液容積の約55％を占める。,血漿中の蛋白質のうち、アルブミンは血液の浸透圧の維持に関与している。,白血球のうち、好中球には、体内に侵入してきた細菌や異物を貪食する働きがある。,血小板のうち、リンパ球には、B リンパ球、T リンパ球などがあり、これらは免疫反応に関与している。,血液の凝固は、血漿中のフィブリノーゲンがフィブリンに変化し、赤血球などが絡みついて固まる現象である。,4,正答は4。リンパ球はBリンパ球・Tリンパ球などがあり免疫反応に関与するが、リンパ球は白血球の一種であって血小板ではない。(4)の「血小板のうち、リンパ球には」という記述は血小板とリンパ球を混同しており誤り。
令和4年,10月,29,労働生理,肝臓の機能として、誤っているものは次のうちどれか。,コレステロールを合成する。,尿素を合成する。,ビリルビンを分解する。,胆汁を生成する。,血液凝固物質や血液凝固阻止物質を合成する。,3,正答は3。ビリルビンは古くなった赤血球のヘモグロビンが分解されてできる物質であり、肝臓はビリルビンを処理して胆汁に排出する。(3)の「ビリルビンを分解する」という表現は誤りで、正しくは処理・排泄（胆汁として排出）する機能である。
令和4年,10月,30,労働生理,脂肪の分解・吸収及び脂質の代謝に関する次の記述のうち、誤っているものはどれか。,胆汁は、アルカリ性で、消化酵素は含まないが、食物中の脂肪を乳化させ、脂肪分解の働きを助ける。,脂肪は、膵臓から分泌される消化酵素である膵アミラーゼにより脂肪酸とグリセリンに分解され、小腸の絨毛から吸収される。,肝臓は、過剰な蛋白質及び糖質を中性脂肪に変換する。,コレステロールやリン脂質は、神経組織の構成成分となる。,脂質は、糖質や蛋白質に比べて多くの ATP を産生することができるので、エネルギー源として優れている。,2,正答は2。脂肪を脂肪酸とグリセリンに分解する消化酵素は膵リパーゼである。(2)では「膵アミラーゼ」としているが、膵アミラーゼは炭水化物（でんぷん）を分解する酵素であり誤り。
令和4年,4月,1,関係法令,事業場の衛生管理体制に関する次の記述のうち、法令上、誤っているものはどれか｡ ただし、衛生管理者及び産業医の選任の特例はないものとする。,常時200人以上の労働者を使用する各種商品小売業の事業場では、総括安全衛生管理者を選任しなければならない。,"常時1,000人を超え2,000人以下の労働者を使用する事業場では、4人以上の衛生管理者を選任しなければならない。",常時50人以上の労働者を使用する通信業の事業場では、第二種衛生管理者免許を受けた者のうちから衛生管理者を選任することができる。,2人以上の衛生管理者を選任する場合、そのうち1人についてはその事業場に専属でない労働衛生コンサルタントのうちから選任することができる。,常時700人の労働者を使用し、そのうち深夜業を含む業務に常時500人以上の労働者を従事させる事業場では、その事業場に専属の産業医を選任しなければならない。,1,正答は1。各種商品小売業で総括安全衛生管理者の選任義務が生じるのは常時300人以上であり、200人以上では義務が生じない。(1)の記述は誤り。
令和4年,4月,2,関係法令,衛生委員会に関する次の記述のうち、法令上、正しいものはどれか。,衛生委員会の議長は、衛生管理者である委員のうちから、事業者が指名しなければならない。,衛生委員会の議長を除く委員の半数は、事業場に労働者の過半数で組織する労働組合があるときにおいてはその労働組合、労働者の過半数で組織する労働組合がないときにおいては労働者の過半数を代表する者が指名しなければならない。,衛生管理者として選任しているが事業場に専属でない労働衛生コンサルタントを、衛生委員会の委員として指名することはできない。,衛生委員会の付議事項には、労働者の精神的健康の保持増進を図るための対策の樹立に関することが含まれる。,衛生委員会は、毎月1回以上開催するようにし、議事で重要なものに係る記録を作成して、 これを5年間保存しなければならない。,4,正答は4。衛生委員会の付議事項には、労働者の精神的健康の保持増進を図るための対策の樹立に関することが含まれると定められており、(4)の記述は正しい。(1)議長は総括安全衛生管理者等から指名、(3)専属でない労働衛生コンサルタントも委員になれる。
令和4年,4月,3,関係法令,総括安全衛生管理者又は産業医に関する次の記述のうち、法令上、誤っているものはどれか。 ただし、産業医の選任の特例はないものとする。,総括安全衛生管理者は、事業場においてその事業の実施を統括管理する者をもって充てなければならない。,都道府県労働局長は、労働災害を防止するため必要があると認めるときは、総括安全衛生管理者の業務の執行について事業者に勧告することができる。,総括安全衛生管理者が旅行、疾病、事故その他やむを得ない事由によって職務を行うことができないときは、代理者を選任しなければならない。,産業医は、衛生委員会を開催した都度作成する議事概要を、毎月1回以上、事業者から提供されている場合には、作業場等の巡視の頻度を、毎月1回以上から2か月に1回以上にすることができる。,事業者は、産業医から労働者の健康管理等について勧告を受けたときは、当該勧告の内容及び当該勧告を踏まえて講じた措置の内容（措置を講じない場合にあっては、その旨及びその理由）を記録し、これを3年間保存しなければならない。,4,正答は4。産業医の作業場等の巡視頻度を2か月に1回以上に変更できる条件は、毎月1回以上所定の情報提供を受け、かつ事業者の同意がある場合である。(4)では「議事概要の提供のみ」を条件としているが、それだけでは不十分であり誤り。
令和4年,4月,4,関係法令,労働安全衛生規則に基づく医師による雇入時の健康診断に関する次の記述のうち、誤っているものはどれか。,医師による健康診断を受けた後3か月を経過しない者を雇い入れる場合、その健康診断の結果を証明する書面の提出があったときは、その健康診断の項目に相当する雇入時の健康診断の項目は省略することができる。,雇入時の健康診断では、40歳未満の者について医師が必要でないと認めるときは、貧血検査、肝機能検査等一定の検査項目を省略することができる。,事業場において実施した雇入時の健康診断の項目に異常の所見があると診断された労働者については、その結果に基づき、健康を保持するために必要な措置について、健康診断が行われた日から3か月以内に、医師の意見を聴かなければならない。,雇入時の健康診断の結果に基づき、健康診断個人票を作成して、これを5年間保存しなければならない。,常時50人以上の労働者を使用する事業場であっても、雇入時の健康診断の結果については、 所轄労働基準監督署長に報告する必要はない。,2,正答は2。雇入時の健康診断は、全項目を省略せず実施しなければならない。定期健康診断では年齢等により一部省略できる場合があるが、雇入時健康診断では医師の判断による省略規定は適用されない。(2)の記述は誤り。
令和4年,4月,5,関係法令,事業場の建築物、施設等に関する措置について、労働安全衛生規則の衛生基準に違反していないものは次のうちどれか。,日常行う清掃のほか、1年以内ごとに1回、定期に、統一的に大掃除を行っている。,男性25人、女性25人の労働者を常時使用している事業場で、労働者が臥床することのできる休養室又は休養所を男性用と女性用に区別して設けていない。,60人の労働者を常時就業させている屋内作業場の気積が、設備の占める容積及び床面から4mを超える高さにある空間を除き、500m3となっている。,事業場に附属する食堂の床面積を、食事の際の1人について、0.8m2としている。,労働衛生上の有害業務を有しない事業場において、窓その他の開口部の直接外気に向かって開放することができる部分の面積が、常時床面積の15分の1である屋内作業場に、換気設備を設けていない。,5,正答は5。(5)は開口部面積が床面積の20分の1以上あることが基準であり、25分の1ではないが、問題では「違反していないもの」を問うており、(5)の具体的内容が基準に適合しているため正答。他の(1)〜(4)はそれぞれ清掃周期・休養室・気積・食堂面積の基準違反。
令和4年,4月,6,関係法令,雇入れ時の安全衛生教育に関する次の記述のうち、法令上、正しいものはどれか。,常時使用する労働者が10人未満である事業場では、教育を省略することができる。,1か月以内の期間を定めて雇用する者については、危険又は有害な業務に従事する者を除き、 教育を省略することができる。,飲食店の事業場においては、教育事項のうち、「作業手順に関すること」については省略することができる。,旅館業の事業場においては、教育事項のうち、「作業開始時の点検に関すること」については省略することができる。,教育を行ったときは、教育の受講者、教育内容等の記録を作成して、これを1年間保存しなければならない。,3,正答は3。飲食店は有害業務がなく、「作業手順に関すること」「作業開始時の点検に関すること」「整理・整頓・清潔保持に関すること」「異常時等の措置に関すること」の4項目を省略できる。(3)の「作業手順に関すること」を省略できるとする記述は正しい。
令和4年,4月,7,関係法令,労働安全衛生法に基づく労働者の心理的な負担の程度を把握するための検査（以下「ストレスチェック」という。）及びその結果等に応じて実施される医師による面接指導に関する次の記述のうち、法令上、正しいものはどれか。,常時50人以上の労働者を使用する事業場においては、6か月以内ごとに1回、定期に、ストレスチェックを行わなければならない。,事業者は、ストレスチェックの結果が、衛生管理者及びストレスチェックを受けた労働者に通知されるようにしなければならない。,労働者に対して行うストレスチェックの事項は、「職場における当該労働者の心理的な負担の原因」、「当該労働者の心理的な負担による心身の自覚症状」及び「職場における他の労働者による当該労働者への支援」に関する項目である。,事業者は、ストレスチェックの結果、心理的な負担の程度が高い労働者全員に対し、医師による面接指導を行わなければならない。,事業者は、医師による面接指導の結果に基づき、当該面接指導の結果の記録を作成して、これを3年間保存しなければならない。,3,正答は3。ストレスチェックの検査事項は、①職場における心理的な負担の原因、②心理的な負担による心身の自覚症状、③職場における他の労働者による支援の3項目とされており、(3)の記述は正しい。(1)実施頻度は1年以内ごとに1回、(4)面接指導は申出があった者に実施。
令和4年,4月,8,関係法令,事務室の空気環境の測定、設備の点検等に関する次の記述のうち、法令上、誤っているものはどれか。,燃焼器具を使用するときは、発熱量が著しく少ないものを除き、毎日、異常の有無を点検しなければならない。,事務室において使用する機械による換気のための設備については、2か月以内ごとに1回、 定期に、異常の有無を点検しなければならない。,空気調和設備内に設けられた排水受けについては、原則として、1か月以内ごとに1回、定期に、その汚れ及び閉塞の状況を点検し、必要に応じ、その清掃等を行わなければならない。,中央管理方式の空気調和設備を設けた建築物内の事務室については、空気中の一酸化炭素及び二酸化炭素の含有率を、3か月以内ごとに1回、定期に、測定しなければならない。,事務室の建築、大規模の修繕又は大規模の模様替を行ったときは、その事務室における空気中のホルムアルデヒドの濃度を、その事務室の使用を開始した日以後所定の時期に1回、測定しなければならない。,4,正答は4。中央管理方式の空気調和設備を設けた事務室の空気中CO・CO2の含有率測定は2か月以内ごとに1回が正しい。(4)の「3か月以内ごと」という記述は誤り。
令和4年,4月,9,関係法令,週所定労働時間が25時間、週所定労働日数が4日である労働者であって、雇入れの日から起算して3年6か月継続勤務したものに対して、その後1年間に新たに与えなければならない年次有給休暇日数として、法令上、正しいものは次のうちどれか。 ただし、その労働者はその直前の1年間に全労働日の8割以上出勤したものとする。,8日,10日,12日,14日,16日,2,正答は2。週所定労働時間25時間・週所定労働日数4日の労働者への比例付与日数は、3年6か月継続勤務で10日である。比例付与日数テーブル（週4日）に基づくと正答は(2)10日。
令和4年,4月,10,関係法令,労働基準法に定める妊産婦等に関する次の記述のうち、法令上、誤っているものはどれか。 ただし、常時使用する労働者数が10人以上の規模の事業場の場合とし、管理監督者等とは、 「監督又は管理の地位にある者等、労働時間、休憩及び休日に関する規定の適用除外者」をいうものとする。,妊産婦とは、妊娠中の女性及び産後1年を経過しない女性をいう。,妊娠中の女性が請求した場合においては、他の軽易な業務に転換させなければならない。,1年単位の変形労働時間制を採用している場合であっても、妊産婦が請求した場合には、管理監督者等の場合を除き、1週40時間、1日8時間を超えて労働させてはならない。,フレックスタイム制を採用している場合であっても、妊産婦が請求した場合には、管理監督者等の場合を除き、1週40時間、1日8時間を超えて労働させてはならない。,生理日の就業が著しく困難な女性が休暇を請求したときは、その者を生理日に就業させてはならない。,4,正答は4。フレックスタイム制は清算期間を平均して所定時間内に収める制度であり、妊産婦がフレックスタイム制の適用からの除外を請求できるという規定は設けられていない。フレックスタイム制自体は1日・1週の上限を超えない仕組みのため(4)の記述は誤り。
令和4年,4月,11,労働衛生,一般の事務室における換気に関する次の Aから Dの記述について、誤っているものの組合せは（1）～（5）のうちどれか。 A 人間の呼気の成分の中で、酸素の濃度は約16％、二酸化炭素の濃度は約4％である。 B 新鮮な外気中の酸素濃度は約21％、二酸化炭素濃度は0.3～0.4％程度である。 C 室内の必要換気量（m3/h）は、次の式により算出される。 室内にいる人が1時間に呼出する二酸化炭素量（m3/h） 室内二酸化炭素基準濃度（％）－外気の二酸化炭素濃度（％） ×100D 必要換気量の算出に当たって、室内二酸化炭素基準濃度は、通常、1％とする。,A，B,A，C,B，C,B，D,C，D,4,正答は4。誤っているのはBとDである。B：外気のCO2濃度は約0.03〜0.04%（0.3〜0.4%は誤り）。D：必要換気量算出に用いる室内CO2基準濃度は0.1%（1%は誤り）。したがって(4)B，Dの組合せが正答。
令和4年,4月,12,労働衛生,温熱条件に関する次の記述のうち、誤っているものはどれか。,WBGTは、日射がない場合は、自然湿球温度と黒球温度の測定値から算出される。,熱中症はⅠ度からⅢ度までに分類され、このうちⅢ度が最も重症である。,WBGT基準値は、健康な作業者を基準に、ばく露されてもほとんどの者が有害な影響を受けないレベルに相当するものとして設定されている。,WBGT基準値は、身体に対する負荷が大きな作業の方が、負荷が小さな作業より小さな値となる。,温度感覚を左右する環境条件は、気温、湿度及びふく射（放射）熱の三つの要素で決まる。,5,正答は5。温熱環境を左右する要素は気温・湿度・気流・ふく射（放射）熱の四要素である。(5)の「三つの要素」とする記述は気流が抜けており誤り。
令和4年,4月,13,労働衛生,照明、採光などに関する次の記述のうち、誤っているものはどれか。,北向きの窓では、直射日光はほとんど入らないが一年中平均した明るさが得られる。,全般照明と局部照明を併用する場合、全般照明による照度は、局部照明による照度の5分の1程度としている。,前方から明かりを取るときは、まぶしさをなくすため、眼と光源を結ぶ線と視線とがなす角度が、40°以上になるように光源の位置を決めている。,照明設備は、1年以内ごとに1回、定期に点検し、異常があれば電球の交換などを行っている。,部屋の彩色として、目の高さ以下は、まぶしさを防ぎ安定感を出すために濁色とし、目より上方の壁や天井は、明るい色を用いるとよい。,4,正答は4。照明設備は6か月以内ごとに1回の定期点検が義務付けられている。(4)の「1年以内ごと」という記述は誤り。また全般照明は局部照明の10分の1以上が正しい基準（5分の1ではない）。
令和4年,4月,14,労働衛生,厚生労働省の「職場における受動喫煙防止のためのガイドライン」において、「喫煙専用室」 を設置する場合に満たすべき事項として定められていないものは、次のうちどれか。,喫煙専用室の出入口において、室外から室内に流入する空気の気流が、0.2m/s以上であること。,喫煙専用室の出入口における室外から室内に流入する空気の気流について、6か月以内ごとに1回、定期に測定すること。,喫煙専用室のたばこの煙が室内から室外に流出しないよう、喫煙専用室は、壁、天井等によって区画されていること。,喫煙専用室のたばこの煙が屋外又は外部の場所に排気されていること。,喫煙専用室の出入口の見やすい箇所に必要事項を記載した標識を掲示すること。,2,正答は2。喫煙専用室の設置要件は①気流0.2m/s以上②区画③屋外排気④標識掲示の4項目であり、気流の定期測定（(2)）は要件に含まれていない。
令和4年,4月,15,労働衛生,労働衛生管理に用いられる統計に関する次の記述のうち、誤っているものはどれか。,健康診断において、対象人数、受診者数などのデータを計数データといい、身長、体重などのデータを計量データという。,生体から得られたある指標が正規分布である場合、そのばらつきの程度は、平均値や最頻値によって表される。,集団を比較する場合、調査の対象とした項目のデータの平均値が等しくても分散が異なっていれば、異なった特徴をもつ集団であると評価される。,ある事象と健康事象との間に、統計上、一方が多いと他方も多いというような相関関係が認められたとしても、それらの間に因果関係があるとは限らない。,静態データとは、ある時点の集団に関するデータであり、動態データとは、ある期間の集団に関するデータである。,2,正答は2。正規分布のばらつきの程度は分散・標準偏差で表す。(2)の「平均値や最頻値によって表される」は誤りで、これらは中心傾向の指標である。
令和4年,4月,16,労働衛生,厚生労働省の「職場における腰痛予防対策指針」に基づく腰痛予防対策に関する次の記述のうち、正しいものはどれか。,作業動作、作業姿勢についての作業標準の策定は、その作業に従事する全ての労働者に一律な作業をさせることになり、個々の労働者の腰痛の発生要因の排除又は低減ができないため、 腰痛の予防対策としては適切ではない。,重量物取扱い作業の場合、満18歳以上の男性労働者が人力のみにより取り扱う物の重量は、 体重のおおむね50％以下となるようにする。,重量物取扱い作業の場合、満18歳以上の女性労働者が人力のみにより取り扱う物の重量は、 男性が取り扱うことのできる重量の60％位までとする。,重量物取扱い作業に常時従事する労働者に対しては、当該作業に配置する際及びその後1年以内ごとに1回、定期に、医師による腰痛の健康診断を行う。,腰部保護ベルトは、重量物取扱い作業に従事する労働者全員に使用させるようにする。,3,正答は3。腰痛予防指針では、女性労働者が人力のみで取り扱う重量は男性が扱える重量の60%位までとされており、(3)の記述は正しい。(2)男性は体重の40%以下が正しく、50%ではない。(4)配置後の健康診断は6か月以内ごとが正しい。
令和4年,4月,17,労働衛生,厚生労働省の「労働安全衛生マネジメントシステムに関する指針」に関する次の記述のうち、誤っているものはどれか。,この指針は、労働安全衛生法の規定に基づき機械、設備、化学物質等による危険又は健康障害を防止するため事業者が講ずべき具体的な措置を定めるものではない。,このシステムは、生産管理等事業実施に係る管理と一体となって運用されるものである。,このシステムでは、事業者は、事業場における安全衛生水準の向上を図るための安全衛生に関する基本的考え方を示すものとして、安全衛生方針を表明し、労働者及び関係請負人その他の関係者に周知させる。,このシステムでは、事業者は、安全衛生方針に基づき設定した安全衛生目標を達成するため、 事業場における危険性又は有害性等の調査の結果等に基づき、一定の期間を限り、安全衛生計画を作成する。,事業者は、このシステムに従って行う措置が適切に実施されているかどうかについて調査及び評価を行うため、外部の機関による監査を受けなければならない。 B cm 以上、女性で A 脂肪面積が D cm2以上に相当する。」,5,正答は5。労働安全衛生マネジメントシステム指針は、システムの枠組みや運用手順を定めるものであり、(5)では指針の目的・適用範囲について誤った内容が記述されている。このシステムは自主的・継続的な安全衛生管理の改善を目的とするPDCAサイクルの仕組みである。
令和4年,4月,18,労働衛生,メタボリックシンドローム診断基準に関する次の文中の句又は数値の組合せとして、正しいものは（1）～（5）のうちどれか。 「日本人のメタボリックシンドローム診断基準で、腹部肥満（のは、腹囲が男性では男女とも A B C D,内臓85 90 100,内臓85 90 200,内臓90 85 100,皮下90 85 200,皮下100 90 200内に入れる A から D の語 A 脂肪の蓄積）とされる C cm 以上の場合であり、この基準は、,1,正答は1。日本のメタボリックシンドロームの診断基準では、腹部肥満とは内臓脂肪の蓄積とされ、腹囲が男性では85cm以上・女性では90cm以上の場合とされている。(1)の「内臓・85・90・100」の組合せが正答。
令和4年,4月,19,労働衛生,食中毒に関する次の記述のうち、正しいものはどれか。,毒素型食中毒は、食物に付着した細菌により産生された毒素によって起こる食中毒で、サルモネラ菌によるものがある。,感染型食中毒は、食物に付着した細菌そのものの感染によって起こる食中毒で、黄色ブドウ球菌によるものがある。,O-157は、腸管出血性大腸菌の一種で、加熱不足の食肉などから摂取され、潜伏期間は3～ 5日である。,ボツリヌス菌は、缶詰や真空パックなど酸素のない密封食品中でも増殖するが、熱には弱く、 60℃、10分間程度の加熱で殺菌することができる。,ノロウイルスによる食中毒は、ウイルスに汚染された食品を摂取することにより発症し、夏季に集団食中毒として発生することが多い。,3,正答は3。O-157は腸管出血性大腸菌の一種で、ベロ毒素（志賀毒素様毒素）を産生し、潜伏期間は3〜5日とされる。(3)の記述は正しい。(1)サルモネラは感染型、(2)黄色ブドウ球菌は毒素型、(4)ボツリヌス毒素は熱に弱いが芽胞は耐熱性あり。
令和4年,4月,20,労働衛生,感染症に関する次の記述のうち、誤っているものはどれか。,人間の抵抗力が低下した場合は、通常、多くの人には影響を及ぼさない病原体が病気を発症させることがあり、これを不顕性感染という。,感染が成立し、症状が現れるまでの人をキャリアといい、感染したことに気付かずに病原体をばらまく感染源になることがある。,微生物を含む飛沫の水分が蒸発して、5µm以下の小粒子として長時間空気中に浮遊し、空調などを通じて感染することを空気感染という。,風しんは、発熱、発疹、リンパ節腫脹を特徴とするウイルス性発疹症で、免疫のない女性が妊娠初期に風しんにかかると、胎児に感染し出生児が先天性風しん症候群（CRS）となる危険性がある。,インフルエンザウイルスには A型、B型及び C型の三つの型があるが、流行の原因となるのは、主として、A型及び B型である。,1,正答は1。(1)は「不顕性感染」の説明ではなく「日和見感染」の説明である。不顕性感染とは感染が成立しても症状が現れない状態のことであり、(1)の記述は用語の取り違えであるため誤り。
令和4年,4月,21,労働生理,呼吸に関する次の記述のうち、誤っているものはどれか。,呼吸運動は、横隔膜、肋間筋などの呼吸筋が収縮と弛し緩をすることにより行われる。,胸郭内容積が増し、その内圧が低くなるにつれ、鼻腔、気管などの気道を経て肺内へ流れ込む空気が吸気である。,肺胞内の空気と肺胞を取り巻く毛細血管中の血液との間で行われるガス交換を外呼吸という。,呼吸数は、通常、1分間に16～20回で、成人の安静時の1回呼吸量は、約500mLである。,呼吸のリズムをコントロールしているのは、間脳の視床下部である。,5,正答は5。呼吸のリズムをコントロールしているのは間脳の視床下部ではなく、延髄にある呼吸中枢である。(5)の記述は誤り。
令和4年,4月,22,労働生理,心臓及び血液循環に関する次の記述のうち、誤っているものはどれか。,大動脈及び肺動脈を流れる血液は、酸素に富む動脈血である。,体循環では、血液は左心室から大動脈に入り、静脈血となって右心房に戻ってくる。,心筋は人間の意思によって動かすことができない不随意筋であるが、随意筋である骨格筋と同じ横紋筋に分類される。,心臓の中にある洞結節（洞房結節）で発生した刺激が、刺激伝導系を介して心筋に伝わることにより、心臓は規則正しく収縮と拡張を繰り返す。,動脈硬化とは、コレステロールの蓄積などにより、動脈壁が肥厚・硬化して弾力性を失った状態であり、進行すると血管の狭窄や閉塞を招き、臓器への酸素や栄養分の供給が妨げられる。,1,正答は1。肺動脈には右心室から肺へ向かう静脈血が流れており、動脈血ではない。(1)の「大動脈及び肺動脈を流れる血液は酸素に富む動脈血」という記述は肺動脈に関して誤り。
令和4年,4月,23,労働生理,体温調節に関する次の記述のうち、誤っているものはどれか。,寒冷な環境においては、皮膚の血管が収縮して血流量が減って、熱の放散が減少する。,暑熱な環境においては、内臓の血流量が増加し体内の代謝活動が亢進することにより、人体からの熱の放散が促進される。,体温調節にみられるように、外部環境などが変化しても身体内部の状態を一定に保とうとする性質を恒常性（ホメオスタシス）という。,計算上、100gの水分が体重70kgの人の体表面から蒸発すると、気化熱が奪われ、体温が約1℃下がる。,熱の放散は、ふく射（放射）、伝導、蒸発などの物理的な過程で行われ、蒸発には、発汗と不感蒸泄によるものがある。,2,正答は2。暑熱環境では内臓への血流が減少し、皮膚への血流が増加することで熱の放散が促進される。(2)の「内臓の血流量が増加し」という記述は誤り。
令和4年,4月,24,労働生理,肝臓の機能として、誤っているものは次のうちどれか。,血液中の身体に有害な物質を分解する。,ブドウ糖をグリコーゲンに変えて蓄える。,ビリルビンを分解する。,血液凝固物質を合成する。,血液凝固阻止物質を合成する。,3,正答は3。ビリルビンは古くなった赤血球のヘモグロビンが分解されてできる物質であり、肝臓はビリルビンを処理して胆汁中に排泄する機能を持つ。「ビリルビンを分解する」という(3)の表現は誤りで、正しくは処理・排泄（抱合して胆汁に排出）する。
令和4年,4月,25,労働生理,次のうち、正常値に男女による差がないとされているものはどれか。,赤血球数,ヘモグロビン濃度,ヘマトクリット値,白血球数,基礎代謝量,4,正答は4。赤血球数・ヘモグロビン濃度・ヘマトクリット値・基礎代謝量は男性の方が女性より高い値を示す。白血球数は男女による差がないとされているため、(4)が正答。
令和4年,4月,26,労働生理,蛋白質並びにその分解、吸収及び代謝に関する次の記述のうち、誤っているものはどれか｡,蛋白質は、約20種類のアミノ酸が結合してできており、内臓、筋肉、皮膚など人体の臓器等を構成する主成分である。,蛋白質は、膵臓から分泌される消化酵素である膵リパーゼなどによりアミノ酸に分解され、 小腸から吸収される。,血液循環に入ったアミノ酸は、体内の各組織において蛋白質に再合成される。,肝臓では、アミノ酸から血漿蛋白質が合成される。,飢餓時には、肝臓などでアミノ酸などからブドウ糖を生成する糖新生が行われる。,2,正答は2。蛋白質を分解する消化酵素はペプシン（胃液）・トリプシン・キモトリプシン（膵液）等である。(2)では「膵リパーゼ」としているが、膵リパーゼは脂質を分解する酵素であり誤り。
令和4年,4月,27,労働生理,視覚に関する次の記述のうち、誤っているものはどれか｡,眼は、周りの明るさによって瞳孔の大きさが変化して眼に入る光量が調節され、暗い場合には瞳孔が広がる。,眼軸が短すぎることなどにより、平行光線が網膜の後方で像を結ぶものを遠視という。,角膜が歪んでいたり、表面に凹凸があるために、眼軸などに異常がなくても、物体の像が網膜上に正しく結ばれないものを乱視という。,網膜には、明るい所で働き色を感じる錐状体と、暗い所で働き弱い光を感じる杆状体の2種類の視細胞がある。,明るいところから急に暗いところに入ると、初めは見えにくいが徐々に見えやすくなることを明順応という。,5,正答は5。暗いところから明るいところに入ると短時間で慣れることを明順応という。(5)は「明るいところから暗いところ」に入る場合を「明順応」と説明しているが、これは「暗順応」であり誤り。
令和4年,4月,28,労働生理,ヒトのホルモン、その内分泌器官及びそのはたらきの組合せとして、誤っているものは次のうちどれか。 ホルモン内分泌器官はたらき,コルチゾール副腎皮質血糖量の増加,アルドステロン副腎皮質体液中の塩類バランスの調節,メラトニン副甲状腺体液中のカルシウムバランスの調節,インスリン膵臓血糖量の減少,アドレナリン副腎髄質血糖量の増加,3,正答は3。メラトニンは松果体から分泌されるホルモンで、睡眠・覚醒リズムの調節に関与する。(3)では内分泌器官を「副甲状腺」としているが正しくは「松果体」であり、はたらきも「体液中のカルシウムバランスの調節」は副甲状腺ホルモン（パラソルモン）の働きであるため誤り。
令和4年,4月,29,労働生理,代謝に関する次の記述のうち、正しいものはどれか。,代謝において、細胞に取り入れられた体脂肪、グリコーゲンなどが分解されてエネルギーを発生する過程を同化という。,代謝において、体内に摂取された栄養素が、種々の化学反応によって、細胞を構成する蛋白質などの生体に必要な物質に合成されることを異化という。,基礎代謝量は、安静時における心臓の拍動、呼吸、体温保持などに必要な代謝量で、睡眠中の測定値で表される。,エネルギー代謝率は、一定時間中に体内で消費された酸素と排出された二酸化炭素の容積比である。,エネルギー代謝率は、動的筋作業の強度を表すことができるが、静的筋作業には適用できない。,5,正答は5。エネルギー代謝率（RMR）は動的筋作業の強度を表す指標として用いられるが、精神的作業や静的筋作業（姿勢保持等）には適用できない。(5)の記述が正しい内容を示している。(1)分解はカタボリズム（異化）、(2)合成はアナボリズム（同化）、(3)基礎代謝は覚醒・安静・空腹時、(4)RQは呼吸商のこと。
令和4年,4月,30,労働生理,腎臓・泌尿器系に関する次の記述のうち、誤っているものはどれか。,腎臓の皮質にある腎小体では、糸球体から蛋白質以外の血漿成分がボウマン嚢に濾し出され、原尿が生成される。,腎臓の尿細管では、原尿に含まれる大部分の水分及び身体に必要な成分が血液中に再吸収され、残りが尿として生成される。,尿は淡黄色の液体で、固有の臭気を有し、通常、弱酸性である。,尿の生成・排出により、体内の水分の量やナトリウムなどの電解質の濃度を調節するとともに、生命活動によって生じた不要な物質を排出する。,血液中の尿素窒素（BUN）の値が低くなる場合は、腎臓の機能の低下が考えられる。,5,正答は5。血液中の尿素窒素（BUN）の値が高くなる場合に腎臓機能の低下が考えられる。腎機能が低下すると尿素の排泄が滞りBUNが上昇する。(5)の「低くなる場合」という記述は誤り。
